run_id,dataset,method,noise,seed,found_eq,r2,time_s,status
bacon7_S-1_N0.02_S42,S-1,bacon7,0.02,42,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.02_S43,S-1,bacon7,0.02,43,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.02_S44,S-1,bacon7,0.02,44,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.02_S45,S-1,bacon7,0.02,45,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.02_S46,S-1,bacon7,0.02,46,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.02_S47,S-1,bacon7,0.02,47,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.02_S48,S-1,bacon7,0.02,48,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.02_S49,S-1,bacon7,0.02,49,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.02_S50,S-1,bacon7,0.02,50,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.02_S51,S-1,bacon7,0.02,51,No law found,0.0000,0.00,Failed
bacon3_S-1_N0.05_S42,S-1,bacon3,0.05,42,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.05_S43,S-1,bacon3,0.05,43,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.05_S44,S-1,bacon3,0.05,44,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.05_S45,S-1,bacon3,0.05,45,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.05_S46,S-1,bacon3,0.05,46,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.05_S47,S-1,bacon3,0.05,47,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.05_S48,S-1,bacon3,0.05,48,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.05_S49,S-1,bacon3,0.05,49,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.05_S50,S-1,bacon3,0.05,50,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.05_S51,S-1,bacon3,0.05,51,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon7_S-1_N0.05_S42,S-1,bacon7,0.05,42,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.05_S43,S-1,bacon7,0.05,43,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.05_S44,S-1,bacon7,0.05,44,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.05_S45,S-1,bacon7,0.05,45,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.05_S46,S-1,bacon7,0.05,46,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.05_S47,S-1,bacon7,0.05,47,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.05_S48,S-1,bacon7,0.05,48,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.05_S49,S-1,bacon7,0.05,49,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.05_S50,S-1,bacon7,0.05,50,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.05_S51,S-1,bacon7,0.05,51,No law found,0.0000,0.00,Failed
bacon3_S-1_N0.1_S42,S-1,bacon3,0.1,42,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.1_S43,S-1,bacon3,0.1,43,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.1_S44,S-1,bacon3,0.1,44,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.1_S45,S-1,bacon3,0.1,45,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.1_S46,S-1,bacon3,0.1,46,Failed to find a simple closing relation.,0.0000,0.00,Failed
